Name;Country;Description;Thumbnail;Publisher_Names;Developer_Names;Platform;Steam_Link;Release_Date;Genre;Epic_Link;Playstation_Link;Xbox_Link;Switch_Link
Ground of Aces;Switzerland;The base building game that lets you take command of a remote air base of workers and pilots during World War II.;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2308690/header.jpg?t=1726140494;Blindflug Studios AG;Blindflug Studios AG;Windows;https://store.steampowered.com/app/2308690/Ground_of_Aces/;To be announced;Simulation, Strategy;;;;
Ultimate Godspeed;Switzerland;Ultimate Godspeed is a party racing game. Place items on the track and bring chaos to the race! The goal: Create the shortest way for you or the most pain for your opponents.;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1435750/header.jpg?t=1716818183;Ninoko;Ninoko;Windows, macOS;https://store.steampowered.com/app/1435750/Ultimate_Godspeed/;27 May, 2024;Action, Casual, Indie, Racing;;;;
Henry Halfhead;Switzerland;Meet Henry, merely half a head, but with the peculiar ability to possess and control any object within their reach. Discover every object's unique properties and abilities and cleverly ;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2058140/header.jpg?t=1725447444;Lululu Entertainment, popagenda;Lululu Entertainment;Windows;https://store.steampowered.com/app/2058140/Henry_Halfhead/;To be announced;Action, Adventure, Casual, Indie;;;;
Wizdom Academy;Switzerland;Build your 3D wizard school, recruit students and staff, manage your resources, take strategic decisions and solve the mystery of the severe mana shortages at Wizdom Academy.;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2668000/header.jpg?t=1722694824;Kipwak Studio;Kipwak Studio;Windows, macOS;https://store.steampowered.com/app/2668000/Wizdom_Academy/;To be announced;Simulation, Strategy;;;;
Unpetrified - A Dreamhunt Story;Switzerland;In this singleplayer narrative-driven adventure game, you take on the role of an adorable, curious Golem that explores a vibrant and lively world. This experience is entirely non-violen;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1989720/header.jpg?t=1720034949;Mindscape;Dreamhunt Studio;Windows, macOS;https://store.steampowered.com/app/1989720/Unpetrified__A_Dreamhunt_Story/;To be announced;Adventure, Casual, Indie;;;;
Tom the postgirl;Switzerland;Take a ride with Tom through her village and discover a great deal—perhaps too much—about the locals. Her approach, although controversial, is highly effective: intense and obsessiv;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2257440/header.jpg?t=1717790878;Oopsie Daisies;Oopsie Daisies;Windows, macOS;https://store.steampowered.com/app/2257440/Tom_the_postgirl/;To be announced;Adventure, Casual, Indie;;;;
Seven Dwarfs: Legends Untold;Switzerland;Seven Dwarfs: Legends Untold is a dark fantasy co-op roguelike where, in teams up to 4 players, play as one of 7 Dwarf warriors and embark on an epic journey to defeat the Evil Queen. D;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2123410/header.jpg?t=1698745244;Surprised Turtle Studios;Surprised Turtle Studios;Windows, macOS;https://store.steampowered.com/app/2123410/Seven_Dwarfs_Legends_Untold/;To be announced;Action, Adventure, Indie;;;;
Projected Dreams;Switzerland;Drag toys from the shelves and drop them on the table to create a shadow play in this cozy puzzle game. As the shadows you cast uncover past family relationships and the environment aro;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2318800/header.jpg?t=1723454852;Flawberry Studio;Flawberry Studio;Windows, macOS;https://store.steampowered.com/app/2318800/Projected_Dreams/;To be announced;Casual, Indie, Simulation;;;;
Munch;Switzerland;Kill. Eat. Evolve. Unleash your inner monster in this metal fantasy action roguelite. Devour the Followers of Order, choose your mutations and evolve into 12 different monsters each wit;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2427050/header.jpg?t=1726340640;Mac n Cheese Games;Mac n Cheese Games;Windows;https://store.steampowered.com/app/2427050/Munch/;Q4 2024;Action, RPG;;;;
Kohlrabi Starship;Switzerland;Kohlrabi Starship is a cozy farming game with space travel. Fly your very own greenhouse spacecraft and discover mysterious planets. Put on your gardening gloves, make friends with anim;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2337990/header.jpg?t=1719588923;Whimsical Wolff Games;Whimsical Wolff Games;Windows, macOS, SteamOS + Linux;https://store.steampowered.com/app/2337990/Kohlrabi_Starship/;To be announced;Indie, RPG, Simulation;;;;
Echo of the Waves;Switzerland;Echo of the Waves is a poetic and atmospheric watercolor-painted exploration game where you play music to interact with nature.;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2524780/header.jpg?t=1713425923;Oneira Games;Oneira Games;Windows, macOS;https://store.steampowered.com/app/2524780/Echo_of_the_Waves/;To be announced;Adventure, Casual, Indie;;;;
Beautiful Light;Switzerland;Beautiful Light, a PvPvPvE tactical first-person extraction shooter where 6 squads of 3 operators are tasked with entering, securing, and extracting an artifact in a hostile, horrific e;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1313230/header.jpg?t=1725018331;Deep Worlds SA;Deep Worlds SA;Windows;https://store.steampowered.com/app/1313230/Beautiful_Light/;To be announced;Action, Indie;;;;
Arcane Wilds;Switzerland;Arcane Wilds is a western themed fantasy RTS with a unique twist on resource management. Gather, steal, and transport resources to use them in battle strategically. Embark on a new jour;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1492050/header.jpg?t=1723623379;Avancadia;Avancadia;Windows, SteamOS + Linux;https://store.steampowered.com/app/1492050/Arcane_Wilds/;To be announced;Strategy, Early Access;;;;
Time Flies;Switzerland;Time Flies is a little adventure about our limited time in this world.;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2000120/header.jpg?t=1724782986;Panic;Playables;Windows, macOS, Playstation;https://store.steampowered.com/app/2000120/Time_Flies/;To be announced;Adventure, Indie;;https://store.playstation.com/concept/10005509;;
Dungeon Clawler;Switzerland;Dungeon Clawler is a Roguelike Claw Machine Deckbuilder. Build your unique deck, fight enemies by grabbing weapons and items from a claw machine and find special artifacts that help you;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2356780/header.jpg?t=1725862497;Stray Fawn Publishing, Playworks;Stray Fawn Studio;Windows, macOS, SteamOS + Linux;https://store.steampowered.com/app/2356780/Dungeon_Clawler/;Q4 2024;Action, Casual, RPG, Simulation, Strategy, Early Access;;;;
The Wandering Village;Switzerland;The Wandering Village is a city-building simulation game on the back of a giant, wandering creature. Build your settlement and form a symbiotic relationship with the colossus. Will you ;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1121640/header.jpg?t=1725006991;Stray Fawn Publishing, WhisperGames;Stray Fawn Studio;Windows, macOS, SteamOS + Linux;https://store.steampowered.com/app/1121640/The_Wandering_Village/;14 Sep, 2022;Simulation, Strategy, Early Access;;;;
Aestik;Switzerland;Make impactful decisions in moral dilemma situations, which will change the course of your journey through this atmospheric, hand-drawn metroidvania. Explore the hazardous paths of the ;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2199330/header.jpg?t=1725093143;Hooded Traveler Games;Hooded Traveler Games;Windows;https://store.steampowered.com/app/2199330/Aestik/;25 Aug, 2024;Action, Adventure, Indie;;;;
Unrailed 2: Back on Track;Switzerland;The chaotic co-op railroad construction game is back! Team up with your friends to build a railroad through procedurally generated worlds with new biomes and bosses. Permanently upgrade;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2211170/header.jpg?t=1726148907;Indoor Astronaut, Kepler Ghost;Indoor Astronaut;Windows;https://store.steampowered.com/app/2211170/Unrailed_2_Back_on_Track/;To be announced;Action, Casual, Indie, Early Access;;;;
Unrailed!;Switzerland;Unrailed! is a co-op multiplayer game where you have to work together with your friends to build a train track across endless procedurally generated worlds. Master random encounters wit;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1016920/header.jpg?t=1726135944;Daedalic Entertainment;Indoor Astronaut;Windows, macOS, SteamOS + Linux, Playstation;https://store.steampowered.com/app/1016920/Unrailed/;23 Sep, 2020;Action, Casual, Indie;;https://store.playstation.com/en-us/product/UP1440-CUSA20431_00-DAENAUNRAILED001/;;
Grimoire Groves;Switzerland;Become a masterful witch as you grow cute plant creatures with your magic in this cozy rogue-lite dungeon crawler. Craft powerful spells and items, discover new plant types, befriend ma;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1830430/header.jpg?t=1724856258;Stardust, Wings;Stardust;Windows;https://store.steampowered.com/app/1830430/Grimoire_Groves/;To be announced;Action, Adventure, Casual, RPG, Strategy;;;;
Sanatorium - A Mental Asylum Simulator;Switzerland;The year is 1923. The lines between modern psychiatric treatments and pseudoscience are still vague. Enter the Sanatorium to diagnose and treat your patients. Struggle with moral decisi;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2059090/header.jpg?t=1711496750;Zeitglas;Zeitglas;Windows, macOS;https://store.steampowered.com/app/2059090/Sanatorium__A_Mental_Asylum_Simulator/;To be announced;Adventure, Indie, Simulation;;;;
Wéko The Mask Gatherer;Switzerland;Wéko the Mask Gatherer is a 3D action-adventure game where you step into the shoes of Wéko, a mysterious adventurer on a quest to collect the seven powerful Primordial Masks in a mesm;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1682290/header.jpg?t=1724669795;SIRO GAMES Sarl, Hawthorn Games;SIRO GAMES Sarl;Windows;https://store.steampowered.com/app/1682290/Wko_The_Mask_Gatherer/;26 Jul, 2024;Action, Adventure, Indie, RPG;;;;
Pool Party;Switzerland;Gather your friends and battle it out in chaotic physics-based party games in Pool Party! Grab a cue and join the party!;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1777790/header.jpg?t=1721377686;Mindscape;Lakeview Games;Windows, Playstation, Xbox, Nintendo;https://store.steampowered.com/app/1777790/Pool_Party/;16 May, 2024;Action, Casual, Indie, Sports;;https://store.playstation.com/en-us/concept/10009507;https://www.xbox.com/en-us/games/store/pool-party/9plg6kp2sbgb;https://www.nintendo.com/us/store/products/pool-party-switch/
Plank Builders;Switzerland;Plank Builders is a captivating yet relaxing construction game. Magical marbles have the ability to make stuffed toys come alive. Together with the monkeys, the player can plan and cons;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1774860/header.jpg?t=1724940677;Diditopia Games;Diditopia Games;Windows, SteamOS + Linux;https://store.steampowered.com/app/1774860/Plank_Builders/;29 Aug, 2024;Adventure, Casual, Indie, Simulation, Strategy;;;;
Pocket Oasis;Switzerland;Pocket Oasis is a beautiful hand-painted cozy gardening simulator, where you can plant seeds and relax as your plants bloom and grow. Discover new cities, and decorate your own little p;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2348830/header.jpg?t=1717831280;knit'n'purl game studio LLC;knit'n'purl game studio LLC;Windows, macOS;https://store.steampowered.com/app/2348830/Pocket_Oasis/;8 May, 2024;Casual, Indie, Simulation;;;;
Of Life and Land;Switzerland;Of Life and Land is a charming settlement-building strategy game paired with a rich simulation experience. Every animal and plant strives to find its place in nature while you lead your;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1733110/header.jpg?t=1725026020;Kerzoven, Metaroot;Kerzoven;Windows, SteamOS + Linux;https://store.steampowered.com/app/1733110/Of_Life_and_Land/;2 Apr, 2024;Indie, Simulation, Strategy, Early Access;;;;
Dreii;Switzerland;Experience the mesmerizing world of Dreii, the award-winning collaborative physics conundrum.;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/298420/header.jpg?t=1593722439;Etter Studio;Etter Studio;Windows, macOS, SteamOS + Linux;https://store.steampowered.com/app/298420/Dreii/;2 Feb, 2016;Indie;;;;
FEIST;Switzerland;A desperate, savage survival experience full of stunning visuals, dynamic creatures, and a haunting soundtrack.;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/327060/header.jpg?t=1666984601;Finji;Bits & Beasts;Windows, macOS, SteamOS + Linux, Playstation, Xbox;https://store.steampowered.com/app/327060/FEIST/;23 Jul, 2015;Action, Indie;;https://store.playstation.com/en-us/product/UP0406-CUSA05448_00-0000000000000000/;https://www.xbox.com/en-us/games/store/feist/c4zfncjgfp86;
Airships: Conquer the Skies;Switzerland;Construct mighty steampunk airships and fly them into battle, waging war and conquering the skies!;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/342560/header.jpg?t=1726463671;David Stark;David Stark;Windows, macOS, SteamOS + Linux;https://store.steampowered.com/app/342560/Airships_Conquer_the_Skies/;16 Aug, 2018;Action, Indie, Strategy;;;;
Plug & Play;Switzerland;Run, hit, switch, fall, love, plug, pull. And push.;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/353560/header.jpg?t=1726252002;Etter Studio;Mario von Rickenbach, Michael Frei;Windows, macOS, SteamOS + Linux;https://store.steampowered.com/app/353560/Plug__Play/;5 Mar, 2015;Adventure, Casual, Indie;;;;
Farming Simulator 15;Switzerland;Welcome to the new generation of Farming Simulator!With a brand new graphics and physics engine, Farming Simulator 15 offers an immense open world, filled with details and visual effect;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/313160/header.jpg?t=1593434409;Giants Software;Giants Software;Windows, macOS, Playstation;https://store.steampowered.com/app/313160/Farming_Simulator_15/;30 Oct, 2014;Simulation;;https://store.playstation.com/en-us/product/UP4399-CUSA16197_00-FARMINGSIMULAT15/;;
Train Fever;Switzerland;It’s the year 1850, and there are great times ahead! Establish a transport company and be its manager. Build infrastructure such as railways and stations, purchase transportation vehi;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/304730/header.jpg?t=1709309266;Good Shepherd Entertainment;Urban Games;Windows, macOS, SteamOS + Linux;https://store.steampowered.com/app/304730/Train_Fever/;4 Sep, 2014;Casual, Indie, Simulation;;;;
Journey of a Roach;Switzerland;Nuclear war, post apocalypse, barren and lifeless wastelands.Lifeless? Not so much!Mutated insects have made their home in a bomb shelter and they're set on exploring the world.Let this;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/255300/header.jpg?t=1562760052;Daedalic Entertainment;Koboldgames, Daedalic Entertainment;Windows, macOS, SteamOS + Linux;https://store.steampowered.com/app/255300/Journey_of_a_Roach/;4 Nov, 2013;Adventure, Indie;;;;
Krautscape;Switzerland;Krautscape is an action-packed racing game with bird-like flying cars and procedurally built racetracks.;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/268360/header.jpg?t=1572436580;Midnight City, Majesco Entertainment;Mario von Rickenbach, Playables;Windows, macOS, SteamOS + Linux;https://store.steampowered.com/app/268360/Krautscape/;24 Feb, 2016;Indie, Racing;;;;
Wild Planet;Switzerland;Discover, craft, and survive in Wild Planet's captivating open world. Build bases, explore dungeons, and embark on adventures. Immerse yourself in its relaxing atmosphere and uncover th...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1323060/header.jpg?t=1729733136;Monkey Factory Media Lukyantsev;Monkey Factory Media Lukyantsev;Windows;https://store.steampowered.com/app/1323060/Wild_Planet/;23 Oct, 2024;Action, Adventure, Indie, RPG, Early Access;Unknown;Unknown;Unknown;Unknown
Colorless Odyssey;Switzerland;Play as a hero who wants to restore the lost color to his world. Color is the embodiment of power, every king has his own fortress, watched over by the Supreme Monarch in his great towe...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2898850/header.jpg?t=1730283211;Tryliom;Tryliom;Windows;https://store.steampowered.com/app/2898850/Colorless_Odyssey/;To be announced;Action, Indie;Unknown;Unknown;Unknown;Unknown
Heist Schoolers;Switzerland;Heist your own school to get the exams' answers and discover why so many students have disappeared in Noirmont High. Spooky and nostalgic.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/3303670/header.jpg?t=1736094614;Naraven Games;Naraven Games;Windows, macOS;https://store.steampowered.com/app/3303670/Heist_Schoolers/;To be announced;Adventure, Casual, Indie;Unknown;Unknown;Unknown;Unknown
Nocturnal;Switzerland;Carve your way with fire and steel to find out what secrets lie beyond the Mist in this intense 3-hour-long action-platformer game. Get ready to wield the flames and burn everything!;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1634080/header.jpg?t=1733937966;Dear Villagers;Sunnyside Games;Windows;https://store.steampowered.com/app/1634080/Nocturnal/;To be announced;Action, Adventure;Unknown;Unknown;Unknown;Unknown
